State,StateCode,Municipality,MunicipalityCode,Locality,Schools,Students,StudentsFemale,StudentsMale,Teachers
AGUASCALIENTES,1,ASIENTOS,002,ASIENTOS,6,1720,893,827,68
AGUASCALIENTES,1,ASIENTOS,002,BIMBALETES AGUASCALIENTES (EL ÁLAMO),4,540,263,277,21
AGUASCALIENTES,1,ASIENTOS,002,BIMBALETES ATLAS (TANQUE DE LA VIEJA),2,220,109,111,9
AGUASCALIENTES,1,ASIENTOS,002,CALDERA,1,76,38,38,3
AGUASCALIENTES,1,ASIENTOS,002,CHARCO AZUL,2,57,27,30,2
AGUASCALIENTES,1,ASIENTOS,002,CIÉNEGA GRANDE,5,1320,660,660,59
AGUASCALIENTES,1,ASIENTOS,002,CLAVELLINAS,3,125,65,60,6
AGUASCALIENTES,1,ASIENTOS,002,CRISÓSTOMOS,2,182,91,91,6
AGUASCALIENTES,1,ASIENTOS,002,EL EPAZOTE,2,59,32,27,3
AGUASCALIENTES,1,ASIENTOS,002,EL MUERTO,3,15,9,6,2
AGUASCALIENTES,1,ASIENTOS,002,EL POLVO,4,303,146,157,14
AGUASCALIENTES,1,ASIENTOS,002,EL SALITRE,2,67,34,33,3
AGUASCALIENTES,1,ASIENTOS,002,EL TEPETATILLO [RANCHO],2,11,6,5,2
AGUASCALIENTES,1,ASIENTOS,002,EL TULE,3,298,147,151,12
AGUASCALIENTES,1,ASIENTOS,002,EMANCIPACIÓN (BORUNDA) [COLONIA],4,215,114,101,11
AGUASCALIENTES,1,ASIENTOS,002,FRANCISCO VILLA,4,241,109,132,11
AGUASCALIENTES,1,ASIENTOS,002,GÓMEZ PORTUGAL [COLONIA],1,11,6,5,1
AGUASCALIENTES,1,ASIENTOS,002,GORRIONES,4,203,101,102,9
AGUASCALIENTES,1,ASIENTOS,002,GUADALUPE DE ATLAS,4,966,498,468,35
AGUASCALIENTES,1,ASIENTOS,002,JARILLAS,4,380,173,207,16
AGUASCALIENTES,1,ASIENTOS,002,JILOTEPEC,4,277,131,146,14
AGUASCALIENTES,1,ASIENTOS,002,LA DICHOSA,4,321,170,151,14
AGUASCALIENTES,1,ASIENTOS,002,LA ESPERANZA,2,61,36,25,3
AGUASCALIENTES,1,ASIENTOS,002,LA GLORIA,4,176,94,82,9
AGUASCALIENTES,1,ASIENTOS,002,LA TINAJUELA,2,31,12,19,3
AGUASCALIENTES,1,ASIENTOS,002,LAS ADJUNTAS,4,144,63,81,9
AGUASCALIENTES,1,ASIENTOS,002,LAS FRAGUAS,4,390,180,210,23
AGUASCALIENTES,1,ASIENTOS,002,LAS NEGRITAS,4,177,98,79,9
AGUASCALIENTES,1,ASIENTOS,002,LÁZARO CÁRDENAS,2,319,155,164,13
AGUASCALIENTES,1,ASIENTOS,002,LICENCIADO ADOLFO LÓPEZ MATEOS,4,444,250,194,20
AGUASCALIENTES,1,ASIENTOS,002,MOLINOS,4,365,208,157,15
AGUASCALIENTES,1,ASIENTOS,002,NORIA DEL BORREGO (NORIAS),4,485,237,248,19
AGUASCALIENTES,1,ASIENTOS,002,OJO DE AGUA DE LOS SAUCES,2,78,37,41,5
AGUASCALIENTES,1,ASIENTOS,002,OJO DE AGUA DE ROSALES,2,109,59,50,5
AGUASCALIENTES,1,ASIENTOS,002,PILOTOS,4,394,201,193,17
AGUASCALIENTES,1,ASIENTOS,002,PINO SUÁREZ (RANCHO VIEJO),3,99,45,54,4
AGUASCALIENTES,1,ASIENTOS,002,PLUTARCO ELÍAS CALLES,3,291,131,160,11
AGUASCALIENTES,1,ASIENTOS,002,SAN ANTONIO DE LOS MARTÍNEZ,2,32,19,13,2
AGUASCALIENTES,1,ASIENTOS,002,SAN GIL,2,138,59,79,5
AGUASCALIENTES,1,ASIENTOS,002,SAN JOSÉ DEL RÍO,3,297,137,160,13
AGUASCALIENTES,1,ASIENTOS,002,SAN PEDRO [COLONIA],2,17,7,10,2
AGUASCALIENTES,1,ASIENTOS,002,SAN RAFAEL DE OCAMPO,4,276,126,150,16
AGUASCALIENTES,1,ASIENTOS,002,SAN VICENTE,3,95,39,56,4
AGUASCALIENTES,1,ASIENTOS,002,TANQUE DE GUADALUPE,2,70,31,39,3
AGUASCALIENTES,1,ASIENTOS,002,TANQUE VIEJO,2,88,42,46,4
AGUASCALIENTES,1,ASIENTOS,002,VILLA JUÁREZ,7,2357,1256,1101,121
AGUASCALIENTES,1,ASIENTOS,002,VIUDAS DE PONIENTE,3,126,61,65,5
AGUASCALIENTES,1,CALVILLO,003,BARRANCA DE PORTALES,2,48,26,22,3
AGUASCALIENTES,1,CALVILLO,003,CALVILLO,27,6729,3503,3226,410
AGUASCALIENTES,1,CALVILLO,003,CERRO BLANCO,3,8,2,6,2
AGUASCALIENTES,1,CALVILLO,003,CHIQUIHUITERO (SAN ISIDRO),4,425,220,205,19
AGUASCALIENTES,1,CALVILLO,003,COLOMOS,2,64,35,29,4
AGUASCALIENTES,1,CALVILLO,003,CRUCERO LAS PILAS,3,267,123,144,11
AGUASCALIENTES,1,CALVILLO,003,EL CUERVERO (CUERVEROS),4,486,249,237,21
AGUASCALIENTES,1,CALVILLO,003,EL MAGUEY,3,34,20,14,3
AGUASCALIENTES,1,CALVILLO,003,EL MORANCILLO (LOS ARCOS),1,45,27,18,2
AGUASCALIENTES,1,CALVILLO,003,EL RODEO,2,105,57,48,4
AGUASCALIENTES,1,CALVILLO,003,EL SALITRE,5,654,359,295,41
AGUASCALIENTES,1,CALVILLO,003,EL SAUZ,2,30,15,15,2
AGUASCALIENTES,1,CALVILLO,003,EL SAUZ DE LA LABOR,2,15,5,10,2
AGUASCALIENTES,1,CALVILLO,003,EL TEPETATE DE ABAJO,2,7,4,3,2
AGUASCALIENTES,1,CALVILLO,003,EL TERRERO DE LA LABOR,3,69,30,39,4
AGUASCALIENTES,1,CALVILLO,003,EL TERRERO DEL REFUGIO,2,29,17,12,2
AGUASCALIENTES,1,CALVILLO,003,EL ZAPOTE DE LA LABOR,3,31,18,13,3
AGUASCALIENTES,1,CALVILLO,003,JALTICHE DE ABAJO,3,48,26,22,3
AGUASCALIENTES,1,CALVILLO,003,JALTICHE DE ARRIBA,3,174,83,91,8
AGUASCALIENTES,1,CALVILLO,003,JARDINES DE SAN ISIDRO (COLONIA LIMÓN),1,81,35,46,3
AGUASCALIENTES,1,CALVILLO,003,LA FRAGUA,2,26,13,13,3
AGUASCALIENTES,1,CALVILLO,003,LA LABOR,4,589,294,295,36
AGUASCALIENTES,1,CALVILLO,003,LA MEDIA LUNA,2,81,37,44,4
AGUASCALIENTES,1,CALVILLO,003,LA PANADERA,5,357,160,197,16
AGUASCALIENTES,1,CALVILLO,003,LA RINCONADA,4,131,65,66,7
AGUASCALIENTES,1,CALVILLO,003,LA TERESA,1,9,4,5,1
AGUASCALIENTES,1,CALVILLO,003,LAS ÁNIMAS,2,59,27,32,3
AGUASCALIENTES,1,CALVILLO,003,LAS TINAJAS,2,23,13,10,2
AGUASCALIENTES,1,CALVILLO,003,LOS MUÑOZ,2,8,3,5,1
AGUASCALIENTES,1,CALVILLO,003,LOS PATOS,4,168,90,78,9
AGUASCALIENTES,1,CALVILLO,003,MALPASO,3,251,118,133,22
AGUASCALIENTES,1,CALVILLO,003,MESA DEL MÁRQUEZ,2,18,9,9,2
AGUASCALIENTES,1,CALVILLO,003,MESA DEL ROBLE,2,16,8,8,2
AGUASCALIENTES,1,CALVILLO,003,MESA GRANDE,4,341,171,170,16
AGUASCALIENTES,1,CALVILLO,003,OJO DE AGUA,4,240,123,117,18
AGUASCALIENTES,1,CALVILLO,003,OJOCALIENTE,11,1628,797,831,76
AGUASCALIENTES,1,CALVILLO,003,PIEDRAS CHINAS,2,19,5,14,2
AGUASCALIENTES,1,CALVILLO,003,POTRERO DE LOS LÓPEZ,1,6,3,3,1
AGUASCALIENTES,1,CALVILLO,003,PRESA DE LOS SERNA,3,113,59,54,6
AGUASCALIENTES,1,CALVILLO,003,PUERTA DE FRAGUA (PRESA LA CODORNIZ),2,40,21,19,2
AGUASCALIENTES,1,CALVILLO,003,SAN TADEO,5,478,229,249,20
AGUASCALIENTES,1,CALVILLO,003,SOLIDARIDAD [FRACCIONAMIENTO],1,13,6,7,1
AGUASCALIENTES,1,CALVILLO,003,TEMAZCAL,2,31,23,8,3
AGUASCALIENTES,1,COSÍO,004,COSÍO,7,1815,934,881,120
AGUASCALIENTES,1,COSÍO,004,EL DURAZNO,2,45,21,24,2
AGUASCALIENTES,1,COSÍO,004,EL REFUGIO DE AGUA ZARCA,4,262,133,129,11
AGUASCALIENTES,1,COSÍO,004,EL REFUGIO DE PROVIDENCIA (PROVIDENCIA),4,443,197,246,18
AGUASCALIENTES,1,COSÍO,004,EL SALERO,4,426,213,213,16
AGUASCALIENTES,1,COSÍO,004,GUADALUPITO,1,5,3,2,1
AGUASCALIENTES,1,COSÍO,004,LA PUNTA,5,907,478,429,43
AGUASCALIENTES,1,COSÍO,004,SANTA MARÍA DE LA PAZ,4,349,175,174,19
AGUASCALIENTES,1,COSÍO,004,SOLEDAD DE ABAJO [ESTACIÓN DE ADAMES],4,208,111,97,11
AGUASCALIENTES,1,COSÍO,004,SOLEDAD DE ARRIBA,1,67,24,43,3
AGUASCALIENTES,1,COSÍO,004,ZACATEQUILLAS,3,246,123,123,11
AGUASCALIENTES,1,JESÚS MARÍA,005,ARBOLEDAS PASO BLANCO [FRACCIONAMIENTO],3,144,66,78,31
AGUASCALIENTES,1,JESÚS MARÍA,005,BROWNSVILLE,1,23,12,11,1
AGUASCALIENTES,1,JESÚS MARÍA,005,CAÑADA EL RODEO,3,74,43,31,5
AGUASCALIENTES,1,JESÚS MARÍA,005,CORRAL DE BARRANCOS,10,938,452,486,40
AGUASCALIENTES,1,JESÚS MARÍA,005,EJIDO LA GUAYANA (RANCHO SECO),4,336,164,172,14
AGUASCALIENTES,1,JESÚS MARÍA,005,EL AURERO,1,59,25,34,2
AGUASCALIENTES,1,JESÚS MARÍA,005,EL CENIZO,2,83,34,49,4
AGUASCALIENTES,1,JESÚS MARÍA,005,EL CHICHIMECO,2,399,202,197,12
AGUASCALIENTES,1,JESÚS MARÍA,005,EL LLANO,10,8646,4891,3755,572
AGUASCALIENTES,1,JESÚS MARÍA,005,EL REFUGIO,2,231,96,135,9
AGUASCALIENTES,1,JESÚS MARÍA,005,EX-HACIENDA DE MILPILLAS,3,124,75,49,7
AGUASCALIENTES,1,JESÚS MARÍA,005,GENERAL IGNACIO ZARAGOZA (VENADERO),4,698,327,371,34
AGUASCALIENTES,1,JESÚS MARÍA,005,GRACIAS A DIOS,3,102,52,50,5
AGUASCALIENTES,1,JESÚS MARÍA,005,JESÚS GÓMEZ PORTUGAL (MARGARITAS),12,2354,1186,1168,116
AGUASCALIENTES,1,JESÚS MARÍA,005,JESÚS MARÍA,88,19437,9655,9782,1078
AGUASCALIENTES,1,JESÚS MARÍA,005,JESÚS MARÍA [EJIDO],2,110,49,61,7
AGUASCALIENTES,1,JESÚS MARÍA,005,LA FLORIDA,4,185,87,98,7
AGUASCALIENTES,1,JESÚS MARÍA,005,LA LOMA DE VALLADOLID,3,162,70,92,7
AGUASCALIENTES,1,JESÚS MARÍA,005,LA PRIMAVERA,1,12,6,6,1
AGUASCALIENTES,1,JESÚS MARÍA,005,LA TOMATINA,4,341,166,175,15
AGUASCALIENTES,1,JESÚS MARÍA,005,LAS JAULAS,2,169,80,89,8
AGUASCALIENTES,1,JESÚS MARÍA,005,LOS ARENALES,3,103,41,62,17
AGUASCALIENTES,1,JESÚS MARÍA,005,LOS ARQUITOS,4,478,231,247,19
AGUASCALIENTES,1,JESÚS MARÍA,005,LOS RAMÍREZ,2,187,87,100,8
AGUASCALIENTES,1,JESÚS MARÍA,005,LOS VÁZQUEZ,4,466,239,227,17
AGUASCALIENTES,1,JESÚS MARÍA,005,MARAVILLAS,5,1118,591,527,59
AGUASCALIENTES,1,JESÚS MARÍA,005,MILPILLAS DE ABAJO,1,16,5,11,1
AGUASCALIENTES,1,JESÚS MARÍA,005,MIRAVALLE,3,298,134,164,11
AGUASCALIENTES,1,JESÚS MARÍA,005,PASEOS DE LAS HACIENDAS [FRACCIONAMIENTO],4,292,141,151,12
AGUASCALIENTES,1,JESÚS MARÍA,005,PASO BLANCO,8,903,430,473,52
AGUASCALIENTES,1,JESÚS MARÍA,005,PEDERNAL PRIMERO,3,170,79,91,7
AGUASCALIENTES,1,JESÚS MARÍA,005,SAN ANTONIO DE LOS HORCONES,4,369,168,201,16
AGUASCALIENTES,1,JESÚS MARÍA,005,SAN ISIDRO,1,22,12,10,1
AGUASCALIENTES,1,JESÚS MARÍA,005,TANQUE LA VIZNAGA,1,27,16,11,2
AGUASCALIENTES,1,JESÚS MARÍA,005,TAPIAS VIEJAS,4,219,89,130,11
AGUASCALIENTES,1,JESÚS MARÍA,005,TEPETATES,2,291,137,154,10
AGUASCALIENTES,1,JESÚS MARÍA,005,VALLADOLID,4,580,276,304,27
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,COLONIA NUEVA,2,65,39,26,3
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EJIDO EL MEZQUITE (OJO DE AGUA DEL MEZQUITE),3,117,58,59,5
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EJIDO OJO ZARCO (LA LOMA),3,191,95,96,6
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EL GARABATO,3,133,82,51,5
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EL MEZQUITE [COLONIA],2,19,9,10,2
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EL MEZQUITE [HACIENDA],1,26,15,11,1
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EL PEDREGAL,1,9,7,2,1
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,EMILIANO ZAPATA,6,959,479,480,35
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,GÁMEZ OROZCO (PUERTA DE CARBONERAS) [COLONIA],2,30,18,12,2
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,LADRILLERAS UNIDAS,2,22,10,12,2
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,LAS ÁNIMAS,4,601,314,287,24
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,LOS LIRA,2,37,19,18,2
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,MIGUEL ALEMÁN [SECADORA],2,30,17,13,2
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,OJO ZARCO [COLONIA],4,263,139,124,12
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,PABELLÓN DE ARTEAGA,40,9788,4788,5000,580
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,SAN AGUSTÍN DE LOS PUENTES,1,15,8,7,1
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,SAN LUIS DE LETRAS,4,312,141,171,14
AGUASCALIENTES,1,PABELLÓN DE ARTEAGA,006,SANTIAGO,3,311,165,146,11
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,16 DE SEPTIEMBRE,3,98,44,54,5
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,CALIFORNIA,4,440,228,212,18
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,EL AJILADERO,3,23,4,19,3
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,EL BAJÍO,2,289,144,145,9
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,EL MILAGRO,3,124,61,63,6
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,EL SALITRILLO,2,44,25,19,2
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,EL SAUCILLO,4,307,154,153,15
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,EL VALLE DE LAS DELICIAS,3,196,91,105,7
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,ESTANCIA DE MOSQUEIRA,2,75,40,35,3
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,FRESNILLO,1,26,16,10,1
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,LA BOQUILLA,4,278,135,143,17
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,LAS CAMAS,2,6,1,5,1
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,MAR NEGRO,3,180,79,101,7
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,MORELOS,4,307,156,151,13
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,PABELLÓN DE HIDALGO,7,1241,598,643,57
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,PABELLÓN DE HIDALGO [EJIDO EX-HACIENDA],2,26,14,12,3
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,PABLO ESCALERAS,7,1043,537,506,40
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,PUERTA DEL MUERTO (EL 15),2,139,76,63,5
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,RINCÓN DE ROMOS,49,13157,6711,6446,847
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,RINCÓN DE ROMOS [ESTACIÓN],2,31,16,15,2
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,SAN JACINTO,4,782,391,391,40
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,SAN JUAN DE LA NATURA,3,191,84,107,8
AGUASCALIENTES,1,RINCÓN DE ROMOS,007,TÚNEL DE POTRERILLO,1,10,7,3,1
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,BOCA DEL TÚNEL DE POTRERILLO,2,13,7,6,2
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,EL TECONGO,3,39,17,22,4
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,LA CONGOJA,4,138,74,64,8
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,PAREDES,4,351,175,176,18
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,POTRERO DE LOS LÓPEZ,2,13,8,5,1
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,RANCHO VIEJO,3,47,28,19,3
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,SAN ANTONIO DE LOS RÍOS,4,329,167,162,14
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,SAN JOSÉ DE GRACIA,11,1935,1008,927,90
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,SANTA ELENA DE LA CRUZ (CAPADERO),2,27,10,17,3
AGUASCALIENTES,1,SAN JOSÉ DE GRACIA,008,TÚNEL DE POTRERILLO,3,129,69,60,7
AGUASCALIENTES,1,TEPEZALÁ,009,AMPLIACIÓN LOS HORNOS (EL LAGUNAZO) [COLONIA],2,29,15,14,2
AGUASCALIENTES,1,TEPEZALÁ,009,ARROYO HONDO,3,133,59,74,5
AGUASCALIENTES,1,TEPEZALÁ,009,CALDERA,4,332,183,149,13
AGUASCALIENTES,1,TEPEZALÁ,009,CARBONERAS,4,450,220,230,23
AGUASCALIENTES,1,TEPEZALÁ,009,EL ÁGUILA,3,77,39,38,4
AGUASCALIENTES,1,TEPEZALÁ,009,EL BARRANCO,2,35,17,18,2
AGUASCALIENTES,1,TEPEZALÁ,009,EL CARMEN,2,59,27,32,3
AGUASCALIENTES,1,TEPEZALÁ,009,EL CHAYOTE,4,708,380,328,37
AGUASCALIENTES,1,TEPEZALÁ,009,EL GIGANTE,4,227,120,107,10
AGUASCALIENTES,1,TEPEZALÁ,009,EL PORVENIR,4,208,101,107,10
AGUASCALIENTES,1,TEPEZALÁ,009,EL REFUGIO,3,139,54,85,6
AGUASCALIENTES,1,TEPEZALÁ,009,EL TEPOZÁN,4,259,147,112,13
